iter	Passed	Remaining
956	19196	40979
957	19201	40927
958	19207	40878
959	19247	40901
960	19253	40850
961	19263	40810
962	19272	40765
963	19284	40730
964	19290	40680
965	19299	40637
966	19306	40589
967	19342	40603
968	19370	40600
969	19381	40560
970	19388	40514
971	19394	40465
972	19401	40418
973	19407	40369
974	19415	40324
975	19422	40277
976	19439	40252
977	19494	40305
978	19522	40301
979	19541	40278
980	19555	40246
981	19570	40216
982	19582	40181
983	19589	40135
984	19595	40086
985	19601	40038
986	19608	39991
987	19613	39942
988	19620	39895
989	19626	39847
990	19632	39800
991	19638	39752
992	19644	39703
993	19649	39654
994	19655	39607
995	19661	39559
996	19667	39512
997	19673	39466
998	19678	39416
999	19685	39370
1000	19715	39372
1001	19745	39373
1002	19754	39331
1003	19770	39304
1004	19781	39267
1005	19793	39232
1006	19804	39195
1007	19812	39152
1008	19818	39106
1009	19824	39059
1010	19831	39016
1011	19839	38973
1012	19845	38926
1013	19851	38880
1014	19857	38835
1015	19863	38789
1016	19870	38744
1017	19876	38698
1018	19882	38652
1019	19888	38606
1020	19894	38561
1021	19901	38517
1022	19906	38471
1023	19914	38428
1024	19923	38389
1025	19989	38459
1026	20001	38426
1027	20018	38401
1028	20024	38355
1029	20031	38312
1030	20037	38266
1031	20043	38222
1032	20050	38179
1033	20055	38132
1034	20061	38088
1035	20068	38044
1036	20074	38000
1037	20081	37958
1038	20087	37913
1039	20095	37871
1040	20100	37826
1041	20107	37783
1042	20114	37740
1043	20124	37703
1044	20136	37671
1045	20149	37641
1046	20158	37602
1047	20170	37570
1048	20230	37625
1049	20236	37581
1050	20241	37536
1051	20247	37492
1052	20252	37447
1053	20260	37406
1054	20265	37361
1055	20271	37318
1056	20277	37274
1057	20283	37231
1058	20289	37187
1059	20295	37145
1060	20301	37101
1061	20306	37055
1062	20312	37013
1063	20327	36986
1064	20334	36945
1065	20341	36905
1066	20350	36867
1067	20362	36836
1068	20376	36807
1069	20387	36774
1070	20397	36739
1071	20411	36710
1072	20431	36692
1073	20448	36670
1074	20456	36631
1075	20462	36589
1076	20470	36549
1077	20475	36506
1078	20482	36465
1079	20487	36423
1080	20494	36382
1081	20500	36340
1082	20507	36299
1083	20513	36257
1084	20523	36223
1085	20530	36183
1086	20538	36145
1087	20548	36110
1088	20560	36079
1089	20570	36044
1090	20576	36004
1091	20588	35972
1092	20596	35936
1093	20606	35901
1094	20613	35861
1095	20622	35826
1096	20631	35790
1097	20637	35749
1098	20644	35709
1099	20649	35667
1100	20657	35629
1101	20693	35640
1102	20700	35602
1103	20706	35561
1104	20712	35520
1105	20717	35478
1106	20727	35445
1107	20736	35409
1108	20748	35379
1109	20758	35345
1110	20770	35315
1111	20786	35292
1112	20796	35258
1113	20805	35223
1114	20821	35200
1115	20828	35161
1116	20835	35123
1117	20840	35081
1118	20846	35042
1119	20853	35003
1120	20858	34962
1121	20865	34923
1122	20872	34885
1123	20879	34849
1124	20886	34810
1125	20892	34771
1126	20906	34745
1127	20930	34735
1128	20940	34702
1129	20952	34673
1130	20965	34645
1131	20977	34616
1132	20986	34583
1133	20998	34553
1134	21006	34517
1135	21017	34485
1136	21025	34451
1137	21032	34412
1138	21039	34375
1139	21044	34336
1140	21051	34297
1141	21057	34259
1142	21063	34220
1143	21069	34183
1144	21076	34145
1145	21082	34107
1146	21089	34070
1147	21095	34032
1148	21100	33991
1149	21106	33954
1150	21111	33914
1151	21118	33877
1152	21124	33839
1153	21131	33803
1154	21220	33898
1155	21230	33865
1156	21238	33831
1157	21245	33794
1158	21250	33755
1159	21257	33718
1160	21262	33678
1161	21267	33640
1162	21272	33601
1163	21278	33562
1164	21284	33525
1165	21291	33488
1166	21297	33452
1167	21303	33413
1168	21309	33377
1169	21315	33338
1170	21321	33302
1171	21326	33263
1172	21334	33229
1173	21343	33196
1174	21355	33168
1175	21363	33134
1176	21373	33104
1177	21404	33105
1178	21427	33095
1179	21437	33065
1180	21445	33031
1181	21450	32992
1182	21456	32955
1183	21462	32918
1184	21468	32882
1185	21473	32844
1186	21480	32808
1187	21485	32771
1188	21491	32735
1189	21498	32698
1190	21503	32661
1191	21510	32626
1192	21515	32588
1193	21521	32552
1194	21527	32515
1195	21536	32484
1196	21550	32460
1197	21561	32432
1198	21573	32405
1199	21581	32372
1200	21595	32348
1201	21608	32322
1202	21616	32290
1203	21641	32283
1204	21652	32254
1205	21674	32241
1206	21680	32205
1207	21686	32171
1208	21692	32134
1209	21697	32097
1210	21703	32062
1211	21709	32026
1212	21715	31991
1213	21720	31955
1214	21727	31920
1215	21732	31884
1216	21738	31849
1217	21751	31822
1218	21756	31786
1219	21763	31753
1220	21774	31724
1221	21788	31701
1222	21799	31675
1223	21809	31644
1224	21822	31619
1225	21832	31591
1226	21842	31562
1227	21850	31529
1228	21856	31495
1229	21862	31460
1230	21876	31437
1231	21893	31418
1232	21899	31384
1233	21906	31350
1234	21911	31314
1235	21918	31281
1236	21923	31245
1237	21929	31211
1238	21935	31176
1239	21940	31141
1240	21951	31113
1241	21957	31080
1242	21968	31053
1243	21982	31029
1244	21989	30996
1245	22001	30971
1246	22011	30943
1247	22019	30912
1248	22032	30887
1249	22043	30860
1250	22049	30826
1251	22054	30791
1252	22061	30758
1253	22066	30724
1254	22073	30691
1255	22081	30660
1256	22089	30629
1257	22094	30594
1258	22101	30562
1259	22106	30528
1260	22117	30501
1261	22122	30467
1262	22129	30433
1263	22134	30399
1264	22141	30367
1265	22150	30339
1266	22164	30316
1267	22174	30289
1268	22189	30268
1269	22208	30251
1270	22217	30222
1271	22226	30194
1272	22238	30169
1273	22244	30136
1274	22249	30102
1275	22255	30069
1276	22262	30037
1277	22268	30005
1278	22274	29972
1279	22279	29938
1280	22285	29905
1281	22292	29873
1282	22298	29841
1283	22304	29808
